piece_cid,piece_size,car_file_name
baga6ea4seaqbnluvg7bmx2o3kl74qay6ygqgzr6vyniouvlqrexs4jqcani34py,34359738368,9225054f77fa25c4e8d575ffafd03688_baga6ea4seaqbnluvg7bmx2o3kl74qay6ygqgzr6vyniouvlqrexs4jqcani34py.car
baga6ea4seaqdnpsguwx2pqybdxkmqp5yk4dcs3hke4ozewtw3gurs7ayp4pl4ly,34359738368,c953230c482559a6524e3cb0ac9176ed_baga6ea4seaqdnpsguwx2pqybdxkmqp5yk4dcs3hke4ozewtw3gurs7ayp4pl4ly.car
baga6ea4seaqakz4rxyh4pnx4m6vwqx2tx6ylvmij2calvdsetnllczevxuokydy,34359738368,e60198773bea066f1603cbf1870009ee_baga6ea4seaqakz4rxyh4pnx4m6vwqx2tx6ylvmij2calvdsetnllczevxuokydy.car
baga6ea4seaqeggnb5pefauybrhda6max36poz62qfxjicqkzhldx457ukoczyfi,34359738368,b79fc0e1676f835c0bf38c4928ae8a58_baga6ea4seaqeggnb5pefauybrhda6max36poz62qfxjicqkzhldx457ukoczyfi.car
baga6ea4seaqnlt67wbx4isnafqpjulvk42b4o62d53s2rqxtn3puxy2aarfdkka,34359738368,9eb8f155b6d904c7ecf3e40efefb4de5_baga6ea4seaqnlt67wbx4isnafqpjulvk42b4o62d53s2rqxtn3puxy2aarfdkka.car
baga6ea4seaqjl6fstd3tjf6cg4dx3c7jixpwjr5kepadqgqwbovnmgwvvv7coii,34359738368,0b944e31c08ddec46bd7f58f4056ef3a_baga6ea4seaqjl6fstd3tjf6cg4dx3c7jixpwjr5kepadqgqwbovnmgwvvv7coii.car
baga6ea4seaqhvgzlrwtqzd5reolpix5fq6enzrenldekuavhmpimdyq6niy6qmq,34359738368,9cc504c8c4a734f82e59b2188273e7f3_baga6ea4seaqhvgzlrwtqzd5reolpix5fq6enzrenldekuavhmpimdyq6niy6qmq.car
baga6ea4seaqkpiedypjazyzkzcjiinwcv24g563oprnhwyuderqkgdkpvzogmaq,34359738368,ebeb2ea1724b2cb4e26629cb7da3ebf2_baga6ea4seaqkpiedypjazyzkzcjiinwcv24g563oprnhwyuderqkgdkpvzogmaq.car
baga6ea4seaqi5lfm7jht7riexiiy5tp6t4cihjricdilmziryduf5htw2go24nq,34359738368,b109104b44f9e2ab27a11252c2ba6cf5_baga6ea4seaqi5lfm7jht7riexiiy5tp6t4cihjricdilmziryduf5htw2go24nq.car
baga6ea4seaqekpbyipfe6fvuenpqixyras3y6tk6kxzdbsbh43e6kshqul74iga,34359738368,1be28a08b13245536e5dc2a142916176_baga6ea4seaqekpbyipfe6fvuenpqixyras3y6tk6kxzdbsbh43e6kshqul74iga.car
